Image URL,Name,Supplier Name,Published Date,Topics,ProductDescription,Reason for recall,Hazard,Consumer should do,SupplierName-Recall,SupplierWebsite,SupplierWebsite-href,TradersList,Sale Period,Product-sold,CountryofManufacture,RecallAdvertdoc,RecallAdvertdoc-href,Regulator-responsibleforthis
https://www.productsafety.gov.au/system/files/styles/media_library/private/Euroblade%20Suntower%20heater_0.png?itok=q65-ci6m,Euroblade Suntower infrared heater,Show Television Pty Ltd,18 September 2024,"Home and garden
 Heating and cooling products
 Home electrical appliances","Freestanding, portable infrared 2000W radiant heater
 
 Model: Sundear Sunmore–H 2000
 
 Power setting: 220-240V 50-60Hz 2000W
 
 
 
 See a list of details to help identify the product.",The product does not comply with the relevant electrical safety standard. The heat produced by the heater in close proximity (500mm or less) to objects exceeds the maximum levels of the standard.,There is a risk of serious burn injury or death and/or property damage if objects close to the heater catch fire.,"Consumers should stop using the product immediately. Consumers should switch off and unplug the heater from power.Consumers should contact Show TV Australia to request a replacement heater from the Euroblade range or a refund.To arrange your replacement or refund, or for more information, consumers should email suntower@showtv.com.au(link sends email)
 
 If consumers are unable to email, they can contact Show TV Australia by phone on 03 9465 8917 (8:30am to 4:30pm, Monday to Friday).",Show Television Pty Ltd(link is external),Show Television Pty Ltd(link is external),https://showtv.com.au/,https://showtv.com.au/(link is external),"11 March 2024
  - 17 July 2024",OnlineSouth AustraliaTasmaniaVictoriaWestern AustraliaAustralian Capital TerritoryNorthern Territory,China,Recall advertisement_3133.pdf 216.18 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement_3133.pdf,Quote PRA number 2024/20285 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Lights_0.jpg?itok=3fP50lfw,Open Air Supply (sold on TEMU) – Headlights for Crocs shoes,Open Air Supply,18 September 2024,,"2 pack of Crocs shoe headlights in 5 colours: black, white, green, blue and red.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory standards for products containing button/coin batteries. The button/coin batteries are not adequately secured and are accessible to young children. The product does not include the required warning information.,"There is a risk of choking, severe internal burn injuries or death to young children if they gain access to the button/coin batteries and swallow them or place them inside their body.","Consumers should stop using the products immediately and place out of reach of children.Consumers should dispose of the product, take a photograph and send the photo to the seller for a full refund.To submit your photograph or for more information, contact https://www.temu.com/support-center.html(link is external) or email TinkC@outlook.com(link sends email)",Open Air Supply,,,Temu,"21 May 2023
  - 26 February 2024",NationallyOnline,China,Recall Advertisement - 13 September 2024.pdf 227.68 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%2013%20September%202024.pdf,Quote PRA number 2024/20270 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Caldo%20Relax%20fan%20heater.jpg?itok=xOdf9-jP,Caldo Relax and Caldo Whisper fan heaters,Olimpia Splendid Pty Ltd,13 September 2024,"Home and garden
 Heating and cooling products
 Home electrical appliances","Fan heaters
 
 Two models affected:
 
 Caldo Relax
 
 Code: 99316
 
 Power setting: 220-240V, 50-60Hz, 1800-2000W
 
 The code can be found on the label on the back of the heater.
 
 Caldo Whisper
 
 Code: VH-2000
 
 Power setting: 220-240V, 50Hz, 2000W
 
 The code can be found on the label on the side of the heater.
 
 
 
 See a list of details to help identify the product.",This product does not comply with the relevant electrical standard. The heater may overheat and catch fire.,There is a risk of serious burn injury and property damage if the heater overheats and catches fire.,"Consumers should stop using these heaters immediately and unplug it from power.Return the product to the place of purchase for a full refund.For further information, consumers can contact Olimpia Splendid Australia Pty Ltd via email at sales@olimpiasplendid.com.au(link sends email) or by phone on 1300 664 768 (9am to 5pm Monday to Friday)",Olimpia Splendid Pty Ltd(link is external),Olimpia Splendid Pty Ltd(link is external),https://www.olimpiasplendid.com.au/,,"1 July 2019
  - 24 June 2024",NationallyOnline,China,Traders list_44.pdf 93.66 KB,https://www.productsafety.gov.au/system/files/Traders%20list_44.pdf,Quote PRA number 2024/20295 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Rare%20Spares%20automotive%20remote%20shell%20model%20KR1000.jpg?itok=kZU-YT62,Automotive remote shells,RSP Automotive & Industrial Pty Ltd,13 September 2024,,"Empty automotive remote and fob shells for opening doors and boots in various Holden Commodore vehicles.
 
 Model numbers:
 
 
 KR1000
 KR1001
 KR1002
 KR1003
 KR1004
 KR1005
 
 
 
 
 See a list of details to help identify the product.","The product does not comply with the mandatory information standard for products containing button/coin batteries.
 
 The product does not include the required warning information.","There is a risk of choking, severe internal burn injuries or death to young children if they gain access to the button/coin batteries and swallow or place them inside their body. Severe or fatal injuries can happen in 2 hours or less.","Consumers should stop using the product immediately and keep it out of reach of children.
 
 Consumers should return the product to their place of purchase for a refund.For more information, contact RSP Automotive by phone at 03 9305 4000 (9am to 5pm, Monday to Friday) or email at recall@rsp.net.au(link sends email)",RSP Automotive & Industrial Pty Ltd(link is external),RSP Automotive & Industrial Pty Ltd(link is external),https://www.rsp.net.au/,Rare Spares,"22 March 2024
  - 14 August 2024",NationallyOnline,China,Recall advertisement - 13 September 2024.pdf 252.1 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2013%20September%202024.pdf,Quote PRA number 2024/20294 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Crocs%20headlights.png?itok=LXs7VAhv,Dreamly (sold on TEMU) – Headlights for Crocs shoes,Dreamly,13 September 2024,,"2 pack of Crocs shoe headlights in 5 colours: black, red, blue, silver and gold.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory standards for products containing button/coin batteries. The button/coin batteries are not adequately secured and are accessible to young children. The product does not include the required warning information.,"There is a risk of choking, severe internal burn injuries or death to young children if they gain access to the button/coin batteries and swallow them or place them inside their body.","Consumers should stop using the products immediately and place out of reach of children.Consumers should dispose of the product, take a photograph and send the photo to the seller for a full refund.To submit your photograph or for more information, contact https://www.temu.com/support-center.html(link is external) or email wzgcxl2020@163.com(link sends email)",Dreamly,,,Temu,"9 August 2023
  - 6 March 2024",NationallyOnline,China,Recall Advertisement - 13 September 2024_0.pdf 239.24 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%2013%20September%202024_0.pdf,Quote PRA number 2024/20267 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Crocs%20headlights.jpg?itok=k-n7lSC9,YRKJ (sold on TEMU) – Headlights for Crocs shoes,YRKJ,13 September 2024,,"2 pack of Crocs shoe headlights in 5 colours: black, white, green, blue and red.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory standards for products containing button/coin batteries. The button/coin batteries are not adequately secured and are accessible to young children. The product does not include the required warning information.,"There is a risk of choking, severe internal burn injuries or death to young children if they gain access to the button/coin batteries and swallow them or place them inside their body.","Consumers should stop using the products immediately and place out of reach of children.
 
 
 Consumers should dispose of the product, take a photograph and send the photo to the seller for a full refund.
 
 
 To submit your photograph or for more information, contact https://www.temu.com/support-center.html(link is external) or email 717071799@qq.com(link sends email)",YRKJ,,,Temu,"9 March 2023
  - 13 January 2024",NationallyOnline,China,Recall Advertisement - 11 September 2024.pdf 233.23 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%2011%20September%202024.pdf,Quote PRA number 2024/20272 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Croc%20lights.jpg?itok=IXRLEez4,XCY (sold on TEMU) – Headlights for Crocs shoes,XCY,13 September 2024,,"2 pack of Crocs shoe headlights in 6 colours: black, pink, white, blue, green and red.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory standards for products containing button/coin batteries. The button/coin batteries are not adequately secured and are accessible to young children. The product does not include the required warning information.,"There is a risk of choking, severe internal burn injuries or death to young children if they gain access to the button/coin batteries and swallow them or place them inside their body.","Consumers should stop using the products immediately and place out of reach of children.
 
 
 Consumers should dispose of the product, take a photograph and send the photo to the seller for a full refund.
 
 
 To submit your photograph or for more information, contact https://www.temu.com/support-center.html(link is external) or email 2106561422@qq.com(link sends email)",XCY,,,TEMU,"8 March 2023
  - 17 July 2024",NationallyOnline,China,Recall Advertisement - 10 September 2024.pdf 227.19 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%2010%20September%202024.pdf,Quote PRA number 2024/20269 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Fisher-Price%20Baby%20Biceps%20gift%20set%20-%20in%20box.png?itok=ttdj8ND0,Fisher-Price® Baby Biceps gift set – dumbbell toy,Mattel Pty Ltd,11 September 2024,,"Dumbbell toy sold with Fisher-Price® Baby Biceps gift set.
 
 Set includes:
 
 
 Dumbbell toy with grey bar and orange and red plastic weights
 Kettlebell toy with model number GJD49 located on the back of the toy
 Toy protein shake
 Orange sweatband
 
 
 Only the dumbbell toy is affected.
 
 
 
 See a list of details to help identify the product.",This product may not comply with the mandatory standard for toys for children up to and including 36 months of age(link is external).The grey caps on the ends of the dumbbell toy can come off.,There is a risk of serious injury or death from choking on the grey caps if they detach from the dumbbell toy.,Consumers should stop using the recalled dumbbell toy immediately and keep it out of reach of children.Return the affected product to the place of purchase or contact Mattel Consumer Relations to receive a refund.Consumers can contact Mattel Consumer Relations by email at infoaust@mattel.com(link sends email) or by phone on 1300 135 312.,Mattel Pty Ltd (link is external),Mattel Pty Ltd (link is external),https://about.mattel.com/,"Target
 
 Jasperstone t/as Toyworld Werribee","14 September 2023
  - 13 December 2023",NationallyOnline,Vietnam,Recall advertisment - 11 September 2024_0.pdf 226.1 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisment%20-%2011%20September%202024_0.pdf,Quote PRA number 2024/20288 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Pride%20temporary%20tattoos%204%20pack_0.jpg?itok=TL0pY_2S,Pride temporary tattoos 4 pack,Oceana International Pty Ltd,6 September 2024,,"Pride themed image and text temporary tattoos
 
 Each packet contains 4 sheets of tattoos.
 
 
 
 See a list of details to help identify the product.",The product doesn’t comply with the mandatory standard for cosmetic ingredients labelling. The ingredient list is missing from the packaging.,There is a risk of allergic reaction if consumers are exposed to ingredients they are sensitive or allergic to.,"Consumers should stop using the product immediately.Consumers should contact Oceana International to arrange for a free return and a full refund of the product.For more information, consumers can contact Oceana International on 02 9604 1211 (9:00 am to 5:00 pm, Monday to Friday) or by emailing sales@oceanainternational.com.au(link sends email)",Oceana International Pty Ltd(link is external),Oceana International Pty Ltd(link is external),http://www.oceanainternational.com.au/,,"20 January 2023
  - 29 August 2024",InternationalOnline,China,Traders list - 6 September 2024.pdf 60.29 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%206%20September%202024.pdf,Quote PRA number 2024/20289 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Avanti%2C%20Malvern%20Star%20%26%20Scott%20bicycles.jpg?itok=DjPsUvbi,Avanti & Malvern Star MY 2021-24 & Scott MY 2022-24 bicycles,Sheppard Cycles Pty Ltd,2 September 2024,"Vehicles (unregistered or off-road)
 Bicycles and scooters (push)","Avanti, Malvern Star and Scott model bicycles with NUTT branded hydraulic braking systems.
 
 Avanti MY2021-24 bicycle models:
 
 • Black Thunder LE
 
 • Montari Jnr
 
 Malvern Star MY2021-24 bicycle models:
 
 • Axis 2
 
 • Axis MS2
 
 • Freedom W2
 
 • Freedom M2
 
 Scott MY2022-24 bicycle models:
 
 • Scott Roxter 26 Disc
 
 • Scott Contessa 26 Disc
 
 
 
 See a list of details to help identify the product.",Over time air may enter the brake hydraulic system or fluid may leak from the brake lever or calliper which can cause a loss in braking power.,Risk of accident and serious injury if the brakes do not work as expected.,"Consumers should stop riding the bicycle immediately and contact Sheppard Cycles Australia to arrange for replacement brakes to be fitted.For more information, consumers can contact Sheppard Cycles Australia Pty Ltd by phone on 1300 883 305 from 9 am to 5 pm Monday to Friday or email rework@sheppardcycles.com(link sends email)",Sheppard Cycles Pty Ltd(link is external),Sheppard Cycles Pty Ltd(link is external),https://www.sheppardcycles.com/,Independent bicycle dealers Australia-wide,"1 July 2020
  - 1 August 2024",NationallyOnline,China,Traders list - 29 August 2024.pdf 88.1 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%2029%20August%202024.pdf,Quote PRA number 2024/20266 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/HP17bII%20Financial%20Calculator%20-%20Packaged.jpg?itok=uySzW9Yp,HP 17bII+ Financial Calculator,Calcsplus Pty Ltd,2 September 2024,,"Financial calculator
 
 Brand: HP
 
 Model: 17bII+
 
 
 
 See a list of details to help identify the product.",The product packaging contains loosely packaged button/coin batteries and may release more than one battery at a time. The packaging is not resistant to being opened by young children.,"There is a risk of choking, severe internal burn injuries or death to young children if they gain access to the button batteries and swallow or place them inside their body.","Consumers should stop using the product immediately and keep it out of reach of children.Consumers should return the product to their place of purchase for a full refund.For more information, consumers can contact CalcsPlus by phone on 03 7064 1212",Calcsplus Pty Ltd(link is external),Calcsplus Pty Ltd(link is external),https://www.calcsplus.com.au/,"Officeworks
 
 Amazon
 
 Green Triangle
 
 Calculatorworld
 
 SBA Office National
 
 Office Products Depot Gold Coast
 
 Office National Hobart","1 October 2019
  - 15 November 2023",NationallyOnline,Philippines,Recall advertisement - 30 August 2024_0.pdf 223.82 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2030%20August%202024_0.pdf,Quote PRA number 2024/20273 when contacting a regulator about this recall.
